SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
0,0,3944153,3944160,3951454,3962971,3926486,3931208,3954725,3984294,3955377,3939295
0,1,3978070,3978090,3957695,3966056,3977264,3942441,3948689,3973189,4004017,3975252
0,2,4096929,4096939,4090616,3970491,3978648,3991295,3958296,3965536,3990991,4021775
0,3,4119040,4119051,4111682,4101643,3981321,3990699,4005424,3973376,3981326,4006755
0,4,4063170,4063186,4077326,4121485,4111444,3992298,4003684,4019335,3987866,3995783
0,5,4056858,4056872,4064480,4087056,4131048,4121794,4004373,4016658,4032787,4001318
0,6,4066381,4066412,4072889,4074516,4096654,4141144,4133300,4016732,4029444,4045532
0,7,4030579,4030594,4042967,4082870,4084201,4106863,4152751,4145829,4029700,4042379
0,8,4046486,4046497,4025495,4052889,4092669,4094674,4118570,4165408,4158968,4042838
0,9,4148353,4148369,4125317,4035461,4062842,4103296,4106389,4131317,4178605,4172171
0,10,4172541,4172559,4186959,4135458,4045601,4073237,4115033,4119269,4144625,4191919
0,11,4114415,4114443,4115452,4197307,4145939,4056173,4085016,4128022,4132611,4157962
0,12,4106243,4106261,4113239,4126020,4208003,4156759,4067899,4097932,4141353,4145953
0,13,4118013,4118055,4119585,4124131,4136655,4219019,4169022,4081296,4111886,4155315
0,14,4165982,4166059,4145490,4131295,4135424,4148560,4232526,4183831,4096727,4127305
0,15,4242820,4242946,4230902,4158739,4143882,4149009,4164225,4249635,4201611,4114560
0,16,4316139,4316311,4313090,4247235,4174315,4160427,4167605,4184373,4270670,4222691
0,17,4395295,4395475,4376158,4334584,4267964,4195438,4183519,4192344,4210248,4296575
0,18,4500855,4501114,4490385,4401461,4359020,4293061,4222786,4213143,4223290,4241226
0,19,4585234,4585701,4570789,4518349,4427917,4385466,4322239,4254939,4245565,4256608
0,20,4519129,4519556,4568055,4598385,4546920,4453700,4412489,4353486,4286564,4276745
0,21,4354294,4354603,4387520,4594545,4630398,4574494,4482033,4445074,4386414,4318304
0,22,4264642,4264946,4286502,4413679,4626348,4661047,4605757,4517314,4480595,4420763
0,23,4198571,4198859,4216698,4312907,4444658,4656683,4694117,4641661,4553777,4515308
0,24,4249363,4249609,4243224,4242863,4343285,4473760,4688618,4729252,4676663,4587515
0,25,4262350,4262583,4289018,4268587,4272877,4371120,4503882,4722239,4763194,4708854
0,26,4152305,4152598,4160508,4312376,4297039,4299622,4400262,4536357,4754096,4794326
0,27,4248869,4249132,4236809,4182321,4338729,4322526,4328101,4432055,4567423,4784135
0,28,4215249,4215502,4247376,4257105,4206443,4361578,4348951,4358168,4461130,4595406
0,29,4223076,4223292,4210139,4265555,4279311,4228116,4386181,4377349,4385585,4487739
0,30,4285668,4285877,4304114,4226341,4285186,4299431,4251419,4412626,4403377,4410631
0,31,3970218,3970416,4042424,4318453,4243591,4302255,4319291,4274952,4434930,4425408
0,32,3986847,3987041,3967447,4054769,4333504,4258685,4319429,4339718,4294385,4453718
0,33,3880150,3880318,3933404,3978681,4067769,4346508,4273924,4337144,4356692,4310977
0,34,3839216,3839372,3822120,3943239,3990632,4078962,4359882,4289883,4352115,4371478
0,35,3956434,3956625,3948190,3831104,3953998,4000897,4090363,4373944,4303181,4364947
0,36,3802087,3802236,3830090,3955372,3840281,3962434,4010887,4102517,4385025,4313987
0,37,3934445,3934593,3896623,3836098,3963305,3847788,3971081,4021765,4112091,4394351
0,38,4121880,4122089,4080090,3901363,3842912,3969573,3855833,3980639,4030605,4120468
0,39,4364796,4364949,4324292,4083814,3906612,3848177,3976512,3864518,3988387,4038244
0,40,4383274,4383450,4387318,4325717,4087369,3910240,3853387,3983367,3870893,3994423
0,41,4114985,4115155,4163365,4386968,4327314,4089720,3913779,3858785,3987834,3875738
0,42,4076104,4076260,4082649,4162181,4386985,4327551,4091708,3917161,3861852,3990700
0,43,4105105,4105285,4093719,4080591,4161015,4385208,4327303,4093397,3918537,3863455
0,44,4211496,4211684,4178367,4090705,4078611,4158497,4383470,4327295,4093328,3919057
0,45,4508868,4509044,4438446,4173540,4087295,4074594,4155383,4381059,4324551,4091579
0,46,4519761,4519941,4529607,4431746,4168182,4081816,4070035,4151692,4376488,4320583
0,47,4535265,4535450,4535360,4520780,4424250,4161224,4076200,4065383,4146627,4370964
0,48,4538796,4538968,4534558,4524448,4511059,4414834,4153395,4069724,4058776,4140010
0,49,4605901,4606060,4598974,4521744,4512793,4499442,4404466,4144843,4061192,4050722
0,50,4660295,4660457,4646111,4584099,4508304,4498950,4486472,4392884,4133931,4051078
0,51,4464631,4464779,4498875,4629595,4568158,4491995,4483424,4472068,4378704,4121394
0,52,4500846,4500963,4480498,4480792,4611354,4549602,4474669,4466906,4455485,4363205
0,53,4380354,4380489,4439343,4460552,4461212,4591335,4530188,4456110,4448135,4437426
0,54,4291999,4292120,4288408,4417728,4439455,4439894,4569843,4509126,4435174,4427991
0,55,4254709,4254809,4258899,4265476,4394770,4415993,4416633,4546665,4485896,4413266
0,56,4037513,4037601,4093115,4234860,4241425,4369037,4390423,4391484,4520972,4461346
0,57,3936386,3936450,3946482,4067978,4209314,4214850,4341770,4363359,4364273,4493573
0,58,3794928,3795015,3802411,3920277,4041657,4181182,4186598,4312945,4334230,4335891
0,59,3641269,3641349,3694225,3775188,3893007,4012567,4151512,4156767,4281943,4303880
0,60,3621131,3621214,3616676,3666218,3746688,3862888,3981755,4119957,4124852,4249921
0,61,3492596,3492656,3520129,3587599,3636530,3715444,3830701,3948750,4085979,4091662
0,62,3563182,3563260,3495097,3488936,3556423,3603852,3682166,3796367,3913573,4050159
0,63,3483884,3483943,3652182,3460878,3455685,3521985,3569056,3646303,3758910,3875907
0,64,2657131,2657194,2706101,3613910,3424934,3418893,3485992,3531786,3607574,3720053
0,65,2680761,2680815,2678528,2675466,3573951,3385678,3380825,3447219,3492271,3567978
0,66,2639141,2639209,2621359,2645920,2643322,3530144,3344794,3340042,3405526,3451069
0,67,2649365,2649426,2693743,2585932,2611346,2608170,3484014,3300801,3296304,3361747
0,68,2323672,2323736,2359862,2653842,2548173,2573554,2571100,3434771,3254306,3251249
0,69,2142324,2142381,2167896,2321680,2611661,2507086,2533751,2531174,3381146,3204338
0,70,2043121,2043178,2062660,2129537,2281747,2565768,2464843,2490999,2488370,3324662
0,71,1949323,1949391,1953665,2022881,2089893,2238309,2519507,2419540,2446446,2443843
0,72,1864275,1864324,1883894,1912282,1981539,2046427,2194211,2468839,2372281,2399286
0,73,1736960,1737022,1750372,1840052,1869214,1936203,2002134,2145541,2415320,2321473
0,74,1684487,1684563,1686065,1705554,1794560,1821988,1889901,1953194,2094035,2357801
0,75,1620077,1620158,1631948,1638654,1659192,1744755,1773949,1839060,1901800,2039236
0,76,1471070,1471157,1481772,1581379,1589512,1608437,1694182,1721269,1785775,1847158
0,77,1455330,1455414,1449228,1430871,1529055,1535801,1556807,1638604,1666031,1729114
0,78,1400123,1400205,1402261,1394574,1378369,1471959,1481179,1500111,1580281,1607240
0,79,1371195,1371312,1355002,1343797,1338237,1321224,1414026,1421387,1440868,1518513
0,80,1308511,1308608,1319813,1292519,1283536,1277082,1263371,1350788,1359236,1378494
0,81,1212865,1212976,1212664,1252511,1228264,1218481,1215525,1200591,1285201,1293831
0,82,1161421,1161546,1158424,1143974,1183647,1159174,1153165,1148785,1135811,1216640
0,83,1074809,1074941,1081505,1085413,1073832,1109606,1089796,1082286,1079926,1068110
0,84,985721,985854,987098,1005470,1011161,998639,1035631,1014952,1009519,1008215
0,85,914723,914871,915081,909492,928783,932277,924114,956384,938865,934557
0,86,814211,814341,821605,835038,832063,848148,854816,845130,876538,861086
0,87,712908,713046,721252,741596,756180,751602,769919,773660,766537,795912
0,88,640619,640765,636689,643321,663871,675328,674651,688988,694100,688419
0,89,537998,538160,546229,560148,568783,585325,599042,596057,610586,615811
0,90,435563,435695,448347,473921,488058,494529,512218,522145,520990,534502
0,91,344987,345128,344460,382715,406960,417433,426528,439673,449898,449373
0,92,281389,281498,288842,289283,323040,342548,353944,360231,372778,382209
0,93,216978,217087,219069,238053,240200,266715,285797,293225,300057,310956
0,94,169449,169525,170783,176694,193849,194933,218060,232582,239378,245786
0,95,129717,129792,131085,135064,140674,153948,156767,173395,186336,191768
0,96,95223,95288,97169,101262,105422,108961,121076,122561,135594,146593
0,97,68138,68168,68894,73282,77169,79964,83485,92293,94410,103874
0,98,45900,45938,47035,50668,54518,57026,60036,61792,69007,71123
0,99,32266,32289,32181,33642,36776,39278,41723,43527,44832,50465
0,100,53364,53412,54413,57713,61831,66195,72227,76941,81971,86248
0,999,308745538,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
1,0,2014276,2014278,2018489,2028365,2007687,2009717,2024473,2037837,2021764,2015150
1,1,2030853,2030861,2020238,2025239,2035061,2015564,2018408,2033678,2047678,2031718
1,2,2092198,2092202,2088564,2026382,2031249,2041998,2023505,2026909,2042666,2056625
1,3,2104550,2104555,2101148,2093834,2031539,2036967,2048966,2030982,2034744,2050474
1,4,2077550,2077556,2084202,2105860,2098540,2036784,2043405,2055928,2038254,2042001
1,5,2072094,2072102,2076475,2089050,2110656,2103643,2042817,2049934,2062721,2045050
1,6,2075319,2075330,2079359,2081492,2093913,2115743,2109439,2049080,2056429,2069201
1,7,2057076,2057082,2063096,2084146,2086119,2098837,2121568,2115766,2055671,2063003
1,8,2065453,2065459,2054387,2067779,2088728,2090936,2104524,2127788,2122254,2062172
1,9,2119696,2119702,2106964,2059043,2072428,2093642,2096559,2110729,2134232,2128715
1,10,2135996,2136007,2142107,2111649,2063743,2077307,2099170,2102773,2117158,2140682
1,11,2103264,2103284,2104761,2146877,2116505,2068739,2083029,2105602,2109432,2123819
1,12,2100145,2100156,2103603,2109574,2151823,2121640,2074584,2089598,2112430,2116260
1,13,2104914,2104932,2104914,2108756,2114710,2157175,2127749,2081376,2096710,2119558
1,14,2135543,2135596,2122850,2110588,2114279,2120610,2164056,2135424,2089414,2104753
1,15,2177022,2177104,2170373,2129299,2116810,2121124,2128678,2172971,2144753,2098809
1,16,2216034,2216153,2214913,2178771,2137317,2125393,2130757,2139289,2184078,2155909
1,17,2263153,2263294,2252719,2226338,2189652,2148491,2137554,2143845,2153031,2197871
1,18,2305473,2305664,2305415,2265926,2238970,2202866,2162805,2153257,2160245,2169468
1,19,2341984,2342296,2334607,2320185,2279919,2252999,2218512,2180602,2170760,2178434
1,20,2308319,2308579,2331630,2348718,2335985,2293538,2267069,2235851,2197828,2187409
1,21,2223198,2223396,2240899,2344505,2366933,2350288,2307824,2284507,2253183,2213975
1,22,2177797,2178023,2188003,2252476,2361577,2382741,2365777,2326117,2302536,2270148
1,23,2140799,2141015,2150842,2198747,2268097,2376290,2398890,2383707,2344031,2318784
1,24,2164063,2164238,2161164,2160853,2213084,2281368,2390781,2415482,2399677,2358826
1,25,2161308,2161475,2176947,2169984,2174709,2225071,2294465,2406023,2430677,2413370
1,26,2097088,2097305,2102167,2184786,2183136,2186030,2237805,2309039,2419961,2443974
1,27,2140651,2140841,2135066,2109556,2196510,2194102,2198515,2252182,2322801,2432679
1,28,2118605,2118796,2134882,2141933,2120231,2206131,2205858,2212551,2265271,2335023
1,29,2117939,2118098,2112199,2141133,2152115,2129646,2217185,2219428,2225093,2277184
1,30,2160802,2160945,2167383,2117767,2150062,2160851,2140036,2229642,2231452,2236352
1,31,1988155,1988284,2026371,2172280,2125530,2157601,2169862,2151514,2240172,2241759
1,32,1994476,1994606,1986066,2030450,2179088,2132311,2165566,2179910,2160786,2248948
