,qx
0,0.005894
1,0.000403
2,0.000252
3,0.000193
4,0.000145
5,0.000143
6,0.000128
7,0.000116
8,0.000104
9,9.5e-05
10,9.1e-05
11,9.8e-05
12,0.000125
13,0.000174
14,0.000241
15,0.000314
16,0.000388
17,0.000473
18,0.000566
19,0.00066
20,0.000757
21,0.000846
22,0.000914
23,0.000958
24,0.000984
25,0.001004
26,0.001028
27,0.001056
28,0.001094
29,0.001138
30,0.001185
31,0.001232
32,0.001277
33,0.001318
34,0.001359
35,0.001408
36,0.001468
37,0.001535
38,0.001608
39,0.00169
40,0.00179
41,0.001909
42,0.002043
43,0.002191
44,0.00236
45,0.002541
46,0.002752
47,0.003018
48,0.003346
49,0.003717
50,0.004098
51,0.004481
52,0.004885
53,0.005319
54,0.005781
55,0.006271
56,0.006775
57,0.007291
58,0.007824
59,0.008383
60,0.008991
61,0.009652
62,0.010353
63,0.011081
64,0.011838
65,0.012634
66,0.01351
67,0.014504
68,0.015664
69,0.017059
70,0.018766
71,0.020689
72,0.022709
73,0.024795
74,0.027078
75,0.029614
76,0.032507
77,0.035786
78,0.039616
79,0.044017
80,0.048899
81,0.054283
82,0.060367
83,0.066954
84,0.074533
85,0.082695
86,0.092575
87,0.103427
88,0.115296
89,0.128216
90,0.142211
91,0.157287
92,0.173433
93,0.190616
94,0.208781
95,0.227849
96,0.247715
97,0.268255
98,0.289322
99,0.310753
100,1.0
